,AFP,Angiopoietin-2,AXL,CA-125,CA 15-3,CA19-9,CD44,CEA,CYFRA 21-1,DKK1,Endoglin,FGF2,Follistatin,Galectin-3,G-CSF,GDF15,HE4,HGF,IL-6,IL-8,Kallikrein-6,Leptin,Mesothelin,Midkine,Myeloperoxidase,NSE,OPG,OPN,PAR,Prolactin,sEGFR,sFas,SHBG,sHER2/sEGFR2/sErbB2,sPECAM-1,TGFa,Thrombospondin-2,TIMP-1,TIMP-2
HE4,0.372790293,-0.004065956,0.09124106,0.083305239,0.082202324,0.123271218,0.252779735,0.125887275,0.060872333,0.025817609,0.037830362,0.129455284,-0.071447379,0.033177046,0.028226501,0.079526882,1,-0.033088772,0.398477183,0.041763527,0.087066633,-0.029815052,0.175089819,-0.015439353,-0.143599311,-0.068923795,-0.016442952,0.025071509,0.134552775,0.157280432,0.153101126,-0.157584367,0.157382176,0.257109485,0.101874497,0.081146027,0.008480917,0.021394184,0.101416635
HGF,0.055291144,0.005208942,-0.017140135,0.163836275,0.053558775,0.237521844,-0.116225439,0.158503579,0.276337417,0.388502363,-0.058344138,0.316004134,0.073794896,0.381665066,0.244097805,0.217597266,-0.033088772,1,-0.050811059,0.288137099,-0.228682086,0.249324311,-0.148506449,0.656473969,0.568664484,0.481116861,-0.152200497,0.341907099,0.088395676,0.016754459,-0.151923976,0.273619433,0.046338558,0.155684597,-0.001722963,-0.022814664,0.074873127,0.273592813,-0.242648829
IL-6,0.173407329,0.124460262,0.158000737,0.012704847,0.08062219,0.088123568,0.500419123,0.100391077,0.031245804,0.002509997,0.167789968,-0.011379665,-0.0162528,0.029105099,0.147756745,0.093085274,0.398477183,-0.050811059,1,0.02317924,0.155133322,0.04733905,0.206041531,-0.015502698,-0.111326018,-0.154998114,0.172129054,0.114200445,-0.010258551,0.184014621,0.14008637,-0.309018426,0.082533371,0.201384127,0.113553525,0.021560077,0.217046578,-0.048228608,-0.091745455
IL-8,-0.013643666,-0.038876849,0.038336757,0.324773581,0.220027948,0.33979367,-0.008846393,0.287991706,0.529166218,0.201569674,0.059524844,0.253402346,0.032590847,0.328889522,0.017399734,0.092440771,0.041763527,0.288137099,0.02317924,1,-0.079068581,-0.060455558,-0.074175817,0.058291904,0.233638754,0.07965943,-0.036524771,0.258415964,0.075296822,0.057145609,-0.117655147,0.157391051,0.045682073,0.258576845,-0.07528345,-0.060917132,0.109596867,0.176567994,-0.07086511
Kallikrein-6,0.100586409,0.071116613,0.028095796,0.05278897,0.092372713,-0.032083518,0.415717016,0.066312201,-0.029219242,-0.105776595,0.03931683,-0.085606091,0.144983559,-0.121985317,-0.15533372,0.048506199,0.087066633,-0.228682086,0.155133322,-0.079068581,1,0.068318618,0.307587402,-0.114281923,-0.257544018,-0.193401467,0.251927426,-0.171586315,-0.205677226,0.089957775,0.059798457,-0.043496219,-0.165463219,0.135373697,0.214660718,0.058174146,-0.169863396,-0.007712969,0.245998648
Leptin,0.006236198,0.038106152,-0.013220861,-0.136746981,-0.080093842,-0.048325118,0.076536267,-0.072021385,-0.065079218,0.086571035,0.021488045,0.013127956,0.163440242,-0.054538312,0.051891486,0.064458264,-0.029815052,0.249324311,0.04733905,-0.060455558,0.068318618,1,-0.006300576,0.183919551,0.024301532,0.058997165,-0.006790881,0.015448159,-0.051739042,0.068196836,0.081092173,0.127487406,-0.294416647,-0.041483172,0.106185797,0.093762038,-0.142058787,-0.00553824,-0.043812925
Mesothelin,0.123236582,0.214832429,0.288629896,-0.111297057,0.037889866,-0.139556612,0.482682912,-0.00031207,-0.141047972,-0.118497274,0.07186321,-0.337648803,0.186599641,-0.066201622,-0.041225806,0.180778489,0.175089819,-0.148506449,0.206041531,-0.074175817,0.307587402,-0.006300576,1,0.088255877,-0.199482232,-0.206805268,0.345843199,0.011458247,0.17824283,-0.075290543,0.29140315,-0.133923086,0.149461424,0.109751342,0.067554059,-0.103602457,0.031381017,0.132029743,0.370999
Midkine,0.139015192,0.088283414,0.155334887,0.07696004,-0.018952891,0.058624474,0.127682699,0.033999357,0.073879861,0.351578937,0.029394209,0.061659164,0.24079023,0.170207076,0.282760867,0.249617767,-0.015439353,0.656473969,-0.015502698,0.058291904,-0.114281923,0.183919551,0.088255877,1,0.353127193,0.401456008,-0.018035852,0.133098398,0.301087751,0.0414046,0.046935636,0.132173085,0.188712279,0.188306211,0.014197964,0.072265141,0.067455491,0.3147776,0.044378919
Myeloperoxidase,-0.140003085,-0.143636253,0.034811387,0.100087164,0.060573811,0.214537006,-0.184018998,0.093064494,0.178628175,0.483323993,-0.133870752,0.28017262,0.053411457,0.555465671,0.178949568,0.020655927,-0.143599311,0.568664484,-0.111326018,0.233638754,-0.257544018,0.024301532,-0.199482232,0.353127193,1,0.542576403,-0.235790271,0.27532471,0.096281137,0.022329944,-0.265307029,0.223874499,0.072207861,0.032618321,-0.143285956,-0.104623466,0.081525616,0.292880526,-0.203284862
NSE,-0.066173927,-0.108424478,-0.163673242,0.081811701,-0.127673845,0.066974556,-0.276269917,-0.013000051,0.113659026,0.655411217,-0.05552972,0.405772832,0.143688618,0.311581723,0.393501889,0.132110938,-0.068923795,0.481116861,-0.154998114,0.07965943,-0.193401467,0.058997165,-0.206805268,0.401456008,0.542576403,1,-0.215550059,0.064108942,-0.070745972,-0.047631577,-0.208905627,0.2106788,0.048561556,0.08404332,-0.036747305,-0.036487026,0.109964429,0.317118489,-0.170792686
